path,sim_ref_max,sim_text,score_combined,phash_near_dup,suspect_vg,dist_to_thr,path_exported
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_213.jpg,0.9349474906921387,0.278180330991745,0.6166045665740967,False,False,0.18339543342590336,data\negatives\Pierre-Auguste_Renoir_213.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_183.jpg,0.9299196600914001,0.28309494256973267,0.6145707964897156,False,False,0.18542920351028447,data\negatives\Alfred_Sisley_183.jpg
data\candidates\artists_tree\Henri_Matisse\Henri_Matisse_149.jpg,0.9253160953521729,0.2862856388092041,0.6124467849731445,False,False,0.1875532150268555,data\negatives\Henri_Matisse_149.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_131.jpg,0.9217506647109985,0.2864549458026886,0.6103413701057434,False,False,0.18965862989425664,data\negatives\Alfred_Sisley_131.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_74.jpg,0.9224604964256287,0.2747439444065094,0.6084251403808594,False,False,0.19157485961914067,data\negatives\Camille_Pissarro_74.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_244.jpg,0.9240229725837708,0.26776522397994995,0.6079668402671814,False,False,0.19203315973281865,data\negatives\Alfred_Sisley_244.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_277.jpg,0.9235138893127441,0.26750633120536804,0.6076096296310425,False,False,0.19239037036895756,data\negatives\Pierre-Auguste_Renoir_277.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_248.jpg,0.9209980368614197,0.26820915937423706,0.6062406897544861,False,False,0.19375931024551396,data\negatives\Alfred_Sisley_248.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_171.jpg,0.9210227131843567,0.2615201473236084,0.6049177050590515,False,False,0.19508229494094853,data\negatives\Alfred_Sisley_171.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_116.jpg,0.9045395851135254,0.30640119314193726,0.6040040254592896,False,False,0.1959959745407105,data\negatives\Alfred_Sisley_116.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_28.jpg,0.9100973010063171,0.287046879529953,0.6034678220748901,False,False,0.1965321779251099,data\negatives\Camille_Pissarro_28.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_244.jpg,0.9150857925415039,0.2689337730407715,0.6028382778167725,False,False,0.19716172218322758,data\negatives\Pierre-Auguste_Renoir_244.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_26.jpg,0.9066718816757202,0.28973907232284546,0.6019509434700012,False,False,0.19804905652999882,data\negatives\Camille_Pissarro_26.jpg
data\candidates\artists_tree\Claude_Monet\Claude_Monet_36.jpg,0.9063791036605835,0.29042354226112366,0.6019122004508972,False,False,0.19808779954910283,data\negatives\Claude_Monet_36.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_3.jpg,0.9091900587081909,0.2799985706806183,0.6015137434005737,False,False,0.19848625659942631,data\negatives\Alfred_Sisley_3.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_26.jpg,0.9107551574707031,0.27507302165031433,0.6014677286148071,False,False,0.19853227138519292,data\negatives\Pierre-Auguste_Renoir_26.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_146.jpg,0.9033627510070801,0.29716765880584717,0.6014512181282043,False,False,0.1985487818717957,data\negatives\Alfred_Sisley_146.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_64.jpg,0.9043385982513428,0.286353200674057,0.5998738408088684,False,False,0.20012615919113164,data\negatives\Alfred_Sisley_64.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_65.jpg,0.9075299501419067,0.2763257324695587,0.5997831225395203,False,False,0.20021687746047978,data\negatives\Pierre-Auguste_Renoir_65.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_72.jpg,0.904714047908783,0.28357169032096863,0.5995427966117859,False,False,0.20045720338821416,data\negatives\Camille_Pissarro_72.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_66.jpg,0.9053589105606079,0.2803518772125244,0.5992857813835144,False,False,0.20071421861648564,data\negatives\Alfred_Sisley_66.jpg
data\candidates\artists_tree\Marc_Chagall\Marc_Chagall_223.jpg,0.9058641195297241,0.2773934602737427,0.598997175693512,False,False,0.20100282430648808,data\negatives\Marc_Chagall_223.jpg
data\candidates\artists_tree\Edouard_Manet\Edouard_Manet_10.jpg,0.9155149459838867,0.24757224321365356,0.5988234877586365,False,False,0.20117651224136357,data\negatives\Edouard_Manet_10.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_50.jpg,0.9017263650894165,0.2886229157447815,0.5987604260444641,False,False,0.20123957395553593,data\negatives\Pierre-Auguste_Renoir_50.jpg
data\candidates\artists_tree\Claude_Monet\Claude_Monet_32.jpg,0.900601863861084,0.2919890880584717,0.5987589955329895,False,False,0.20124100446701054,data\negatives\Claude_Monet_32.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_207.jpg,0.9029994010925293,0.283600777387619,0.5985198020935059,False,False,0.20148019790649419,data\negatives\Pierre-Auguste_Renoir_207.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_38.jpg,0.9065274596214294,0.2725919187068939,0.5984349250793457,False,False,0.20156507492065434,data\negatives\Camille_Pissarro_38.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_163.jpg,0.901435375213623,0.28667545318603516,0.5981963276863098,False,False,0.20180367231369023,data\negatives\Pierre-Auguste_Renoir_163.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_30.jpg,0.9042559862136841,0.27732667326927185,0.5980189442634583,False,False,0.2019810557365418,data\negatives\Pierre-Auguste_Renoir_30.jpg
data\candidates\artists_tree\Edouard_Manet\Edouard_Manet_43.jpg,0.9029197692871094,0.28061428666114807,0.5978747010231018,False,False,0.20212529897689824,data\negatives\Edouard_Manet_43.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_184.jpg,0.9003527164459229,0.28626710176467896,0.5974650979042053,False,False,0.20253490209579472,data\negatives\Alfred_Sisley_184.jpg
data\candidates\artists_tree\Paul_Gauguin\Paul_Gauguin_279.jpg,0.9018096923828125,0.28171655535697937,0.5974291563034058,False,False,0.20257084369659428,data\negatives\Paul_Gauguin_279.jpg
data\candidates\artists_tree\Gustav_Klimt\Gustav_Klimt_77.jpg,0.9021947383880615,0.2791110575199127,0.5971390604972839,False,False,0.2028609395027161,data\negatives\Gustav_Klimt_77.jpg
data\candidates\artists_tree\Paul_Cezanne\Paul_Cezanne_7.jpg,0.8994550108909607,0.28617173433303833,0.596907377243042,False,False,0.20309262275695805,data\negatives\Paul_Cezanne_7.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_193.jpg,0.8997435569763184,0.2843615710735321,0.5967184901237488,False,False,0.20328150987625127,data\negatives\Alfred_Sisley_193.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_323.jpg,0.9048014879226685,0.2685762047767639,0.5965961217880249,False,False,0.20340387821197514,data\negatives\Pierre-Auguste_Renoir_323.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_29.jpg,0.9054014682769775,0.266133576631546,0.5964676141738892,False,False,0.20353238582611088,data\negatives\Alfred_Sisley_29.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_243.jpg,0.9047943353652954,0.2666095197200775,0.5961984992027283,False,False,0.20380150079727177,data\negatives\Pierre-Auguste_Renoir_243.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_70.jpg,0.9020681381225586,0.2746698260307312,0.5961748957633972,False,False,0.20382510423660283,data\negatives\Camille_Pissarro_70.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_220.jpg,0.8989020586013794,0.28383439779281616,0.5961081385612488,False,False,0.20389186143875127,data\negatives\Alfred_Sisley_220.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_166.jpg,0.8990839123725891,0.282138854265213,0.5958781242370605,False,False,0.2041218757629395,data\negatives\Pierre-Auguste_Renoir_166.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_152.jpg,0.901984453201294,0.27243879437446594,0.595678448677063,False,False,0.20432155132293706,data\negatives\Alfred_Sisley_152.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_161.jpg,0.9070883989334106,0.2566692531108856,0.595586895942688,False,False,0.20441310405731206,data\negatives\Pierre-Auguste_Renoir_161.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_239.jpg,0.8983352184295654,0.28269892930984497,0.5955409407615662,False,False,0.20445905923843388,data\negatives\Alfred_Sisley_239.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_12.jpg,0.8984609842300415,0.28167152404785156,0.595410943031311,False,False,0.204589056968689,data\negatives\Alfred_Sisley_12.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_243.jpg,0.8986274003982544,0.280022531747818,0.5951809883117676,False,False,0.20481901168823247,data\negatives\Alfred_Sisley_243.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_14.jpg,0.8964787721633911,0.28641465306282043,0.5951701998710632,False,False,0.2048298001289368,data\negatives\Alfred_Sisley_14.jpg
data\candidates\artists_tree\Paul_Gauguin\Paul_Gauguin_129.jpg,0.9066944122314453,0.2557210922241211,0.5951609015464783,False,False,0.20483909845352177,data\negatives\Paul_Gauguin_129.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_51.jpg,0.8925882577896118,0.29794466495513916,0.5951418876647949,False,False,0.20485811233520512,data\negatives\Alfred_Sisley_51.jpg
data\candidates\artists_tree\Henri_de_Toulouse-Lautrec\Henri_de_Toulouse-Lautrec_43.jpg,0.8946747779846191,0.29056504368782043,0.594917893409729,False,False,0.20508210659027104,data\negatives\Henri_de_Toulouse-Lautrec_43.jpg
data\candidates\artists_tree\Alfred_Sisley\Alfred_Sisley_207.jpg,0.8944571018218994,0.2893955707550049,0.5945533514022827,False,False,0.20544664859771733,data\negatives\Alfred_Sisley_207.jpg
data\candidates\artists_tree\Claude_Monet\Claude_Monet_39.jpg,0.8948076963424683,0.28740328550338745,0.5943652987480164,False,False,0.2056347012519837,data\negatives\Claude_Monet_39.jpg
data\candidates\artists_tree\Paul_Gauguin\Paul_Gauguin_246.jpg,0.8919432163238525,0.2957378327846527,0.5943135023117065,False,False,0.2056864976882935,data\negatives\Paul_Gauguin_246.jpg
data\candidates\artists_tree\Claude_Monet\Claude_Monet_41.jpg,0.8922516107559204,0.2946889400482178,0.5942887663841248,False,False,0.2057112336158753,data\negatives\Claude_Monet_41.jpg
data\candidates\artists_tree\Georges_Seurat\Georges_Seurat_3.jpg,0.8935825824737549,0.2903086245059967,0.5942112803459167,False,False,0.2057887196540833,data\negatives\Georges_Seurat_3.jpg
data\candidates\artists_tree\Camille_Pissarro\Camille_Pissarro_31.jpg,0.8999853134155273,0.27054843306541443,0.5941008925437927,False,False,0.20589910745620732,data\negatives\Camille_Pissarro_31.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_183.jpg,0.8944187164306641,0.28652817010879517,0.5939568877220154,False,False,0.20604311227798466,data\negatives\Pierre-Auguste_Renoir_183.jpg
data\candidates\artists_tree\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_168.jpg,0.893944263458252,0.2877891957759857,0.5939244031906128,False,False,0.20607559680938725,data\negatives\Pierre-Auguste_Renoir_168.jpg
